,station_code,7/9/19 8:00,7/9/19 9:00,7/9/19 10:00,7/9/19 11:00,7/9/19 12:00,7/9/19 13:00,7/9/19 14:00,7/9/19 15:00,7/9/19 16:00,7/9/19 17:00,7/9/19 18:00,7/9/19 19:00,7/9/19 20:00,7/9/19 21:00
0,6309,0,0,3,1,5,0,-3,1,-2,5,3,0,-1,0
1,6341,-4,5,1,-1,-3,2,-1,2,3,0,1,1,-5,0
2,6379,2,-1,1,2,4,2,-2,0,1,3,-1,1,1,0
3,6425,-3,2,-1,-3,-1,0,1,2,2,-2,-2,1,2,0
4,6426,1,2,2,2,1,-1,2,-2,1,2,0,0,1,0
5,6427,1,-2,-1,-1,3,-1,-1,4,2,-2,0,0,2,0
6,6705,-3,1,1,0,2,1,-2,2,-1,1,-1,-1,4,0
7,6706,-3,0,0,1,1,-2,1,0,-1,4,1,0,1,0
8,6712,0,0,1,0,-2,2,-1,-1,1,2,1,-3,0,0
9,6715,1,-2,0,0,-2,1,0,1,1,-3,0,0,-1,0
10,7056,-2,-1,0,1,-1,0,1,-2,0,-3,0,-2,-1,0
11,7057,2,1,-2,1,1,-1,1,-2,1,-1,-2,1,1,0
12,7058,-4,-4,3,1,-1,1,1,-1,0,-1,-1,1,-2,0
13,7059,2,0,-1,0,-2,0,2,-3,1,3,-3,0,2,0
14,7060,-3,-2,0,0,1,1,1,-2,0,2,-1,0,1,0
15,7143,-3,-2,-1,-1,-1,-3,-1,0,-1,-1,0,1,0,0
16,7144,2,0,-1,0,-3,-1,0,2,1,0,-3,0,-1,0
17,7145,2,-2,0,-3,0,0,-1,1,0,1,0,0,1,0
