,station_code,7/14/19 8:00,7/14/19 9:00,7/14/19 10:00,7/14/19 11:00,7/14/19 12:00,7/14/19 13:00,7/14/19 14:00,7/14/19 15:00,7/14/19 16:00,7/14/19 17:00,7/14/19 18:00,7/14/19 19:00,7/14/19 20:00,7/14/19 21:00
0,6309,4,2,2,4,3,-1,4,1,2,-1,2,4,-1,0
1,6341,4,1,-1,3,1,-1,1,0,-2,1,3,2,2,0
2,6379,1,2,-2,1,-1,-2,1,1,3,-5,-2,3,0,0
3,6425,0,-5,2,1,-2,1,2,1,0,2,2,1,2,0
4,6426,0,-1,-1,2,0,-2,1,0,0,3,3,0,-2,0
5,6427,1,-4,2,-3,0,1,2,-1,-2,-2,2,-4,0,0
6,6705,-2,1,-1,0,-1,-1,-1,0,1,3,0,0,2,0
7,6706,-1,0,-2,0,1,1,2,1,-2,-2,2,-2,0,0
8,6712,0,-1,1,-2,1,-1,3,1,1,1,0,-1,-1,0
9,6715,-2,0,-4,-1,0,1,2,1,1,-2,-4,1,1,0
10,7056,0,0,-2,1,0,0,-2,2,0,-3,2,-1,-2,0
11,7057,0,-1,1,0,-2,-1,-2,0,1,3,-2,0,-2,0
12,7058,0,-1,-4,1,-1,0,-3,0,0,-3,1,0,-1,0
13,7059,-3,0,0,0,-3,0,0,0,0,3,-1,0,0,0
14,7060,-1,0,0,0,-1,-2,-1,3,-1,2,1,-2,-2,0
15,7143,0,-1,0,-3,0,-1,0,0,0,-3,-2,-2,0,0
16,7144,-4,0,-2,-1,-3,-2,-1,0,-2,-4,3,0,2,0
17,7145,0,0,-3,0,0,0,-1,-2,0,2,-4,-2,1,0
