,station_code,7/11/19 8:00,7/11/19 9:00,7/11/19 10:00,7/11/19 11:00,7/11/19 12:00,7/11/19 13:00,7/11/19 14:00,7/11/19 15:00,7/11/19 16:00,7/11/19 17:00,7/11/19 18:00,7/11/19 19:00,7/11/19 20:00,7/11/19 21:00
0,6309,1,4,0,2,2,3,3,4,1,-2,1,3,2,0
1,6341,-1,3,1,0,2,1,2,3,0,3,0,-2,0,0
2,6379,0,-1,2,-1,0,1,3,1,1,1,1,2,1,0
3,6425,-2,0,2,-1,0,1,-1,-2,1,2,1,1,0,0
4,6426,1,1,-1,0,1,0,-2,1,0,1,0,1,-1,0
5,6427,1,0,0,1,-1,0,1,0,-1,2,-1,1,0,0
6,6705,-1,1,-2,1,1,-2,0,1,0,-1,0,0,0,0
7,6706,-3,-2,-1,-1,1,1,1,-7,1,1,1,0,0,0
8,6712,-3,0,0,-1,1,1,-1,1,1,1,1,0,-2,0
9,6715,-3,0,0,0,-3,1,-2,0,1,1,1,-3,0,0
10,7056,0,-3,-1,0,0,1,0,1,2,0,2,0,0,0
11,7057,0,-1,0,-1,0,-2,1,1,0,1,0,-1,0,0
12,7058,-1,0,0,-2,0,-1,0,-1,0,0,0,0,0,0
13,7059,0,-1,0,0,-2,0,-2,-1,0,0,0,0,-2,0
14,7060,0,0,0,-1,0,0,0,-1,3,0,-1,-2,0,0
15,7143,-2,-2,0,0,-1,0,-3,-1,0,-1,0,0,0,0
16,7144,-3,0,0,-1,0,-2,-1,-1,0,1,0,-1,-1,0
17,7145,0,-1,0,0,0,-1,0,-3,-2,0,-2,0,0,0
