,station_code,7/10/19 8:00,7/10/19 9:00,7/10/19 10:00,7/10/19 11:00,7/10/19 12:00,7/10/19 13:00,7/10/19 14:00,7/10/19 15:00,7/10/19 16:00,7/10/19 17:00,7/10/19 18:00,7/10/19 19:00,7/10/19 20:00,7/10/19 21:00
0,6309,1,4,1,4,3,5,2,1,-1,-3,1,3,2,0
1,6341,-3,1,-2,4,1,3,2,0,-1,1,2,1,-2,0
2,6379,2,4,0,-1,2,-2,-2,1,-2,-1,0,-1,3,0
3,6425,-1,-1,2,1,1,2,1,1,1,-2,2,-2,0,0
4,6426,0,0,0,0,2,1,2,0,-2,0,-2,0,1,0
5,6427,2,-4,0,2,-2,1,1,-1,1,0,0,0,-2,0
6,6705,-5,0,0,2,0,2,1,0,-1,-1,2,-1,1,0
7,6706,-4,1,-1,0,0,-1,0,1,1,1,0,1,2,0
8,6712,-11,0,0,-1,-2,0,0,1,-1,1,-1,1,1,0
9,6715,-7,-3,-1,1,0,0,-2,1,1,0,1,0,1,0
10,7056,-2,-2,0,0,1,-3,0,2,0,0,-2,0,0,0
11,7057,-3,-2,0,-1,-1,-3,1,0,-1,-2,-2,-2,1,0
12,7058,-6,-3,-3,0,-3,0,-1,0,0,-1,-1,-1,0,0
13,7059,-4,-1,0,-2,0,0,-2,0,0,-3,0,-3,0,0
14,7060,-1,0,-1,0,0,-4,-1,3,-2,-1,-2,-1,-1,0
15,7143,-1,-4,0,0,-1,-2,0,0,-1,0,0,0,0,0
16,7144,-4,-3,0,-3,-2,0,-1,0,-2,-3,2,-3,-2,0
17,7145,-3,-4,0,0,0,0,-2,-2,0,0,1,0,0,0
