,station_code,7/13/19 8:00,7/13/19 9:00,7/13/19 10:00,7/13/19 11:00,7/13/19 12:00,7/13/19 13:00,7/13/19 14:00,7/13/19 15:00,7/13/19 16:00,7/13/19 17:00,7/13/19 18:00,7/13/19 19:00,7/13/19 20:00,7/13/19 21:00
0,6309,4,2,3,-3,3,1,5,-1,1,0,4,-2,1,0
1,6341,0,2,1,-1,1,-1,-3,-1,2,5,2,-2,-2,0
2,6379,-1,-3,3,-2,1,2,4,2,0,-1,-2,1,-2,0
3,6425,-1,1,2,1,-1,-3,-1,1,2,2,2,0,-1,0
4,6426,1,2,1,2,2,2,1,-2,-2,2,2,1,2,0
5,6427,1,1,0,-1,-1,-1,3,1,0,-2,1,-2,-1,0
6,6705,-1,0,-1,-2,1,0,2,-1,2,1,1,1,1,0
7,6706,-3,0,1,1,0,1,1,0,0,0,1,2,-1,0
8,6712,0,1,1,-1,1,0,-2,-3,-1,0,0,-1,1,0
9,6715,0,-3,1,0,0,0,-2,1,1,-2,-2,1,0,0
10,7056,-1,0,1,1,0,1,-1,0,-2,-1,1,0,3,0
11,7057,0,-2,1,1,-2,1,1,-1,-2,1,-2,1,-2,0
12,7058,-2,-1,-2,1,3,1,-1,0,-1,-4,-1,0,3,0
13,7059,-1,-3,-1,2,-1,0,-2,0,0,0,0,0,-1,0
14,7060,-2,0,-1,1,0,0,1,-2,-2,-2,5,-1,0,0
15,7143,-3,-2,0,-1,-1,-1,-1,-1,0,-2,1,0,2,0
16,7144,0,-1,-5,0,-1,0,-3,-2,2,0,-2,-2,-1,0
17,7145,-1,-1,-3,-1,0,-3,0,0,1,-2,-3,4,0,0
